,UNTR.JK,AVIA.JK,BJTM.JK,DSNG.JK,ELSA.JK,EMTK.JK,ESSA.JK,MPMX.JK,MTEL.JK,PGEO.JK,POWR.JK,PWON.JK,SCMA.JK,SIDO.JK,SIMP.JK,TAPG.JK,ASII.JK,BBNI.JK,BBRI.JK,BMRI.JK,INCO.JK,INDF.JK,JSMR.JK,PRDA.JK,SMGR.JK,TLKM.JK,UNVR.JK,BBCA.JK,ICBP.JK,INTP.JK,AKRA.JK,ANTM.JK,AUTO.JK,BBTN.JK,BIRD.JK,BJBR.JK,BTPS.JK,CTRA.JK,HEAL.JK,JPFA.JK,KLBF.JK,PNBN.JK,SILO.JK,SMSM.JK,SSMS.JK
TAPG.JK,0.0,1.6787813294834507e-07,8.030376919955518e-06,0.0002374623285551386,4.3897892199543774e-05,7.588856431296596e-05,6.312514722347885e-05,3.639271097071996e-05,2.856737986915193e-05,-2.7631564030605353e-05,1.4864736884250074e-05,5.216945053489984e-05,6.451946527938697e-05,4.062565594913933e-05,7.771388297299646e-05,0.0003614002051937423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASII.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002356628031144173,8.006824556138964e-05,8.703980381416404e-05,7.297770361833393e-05,4.231715067166996e-05,4.731357166799022e-05,3.200447363333964e-05,2.829296165153667e-05,6.961641382389658e-05,6.8368128255285e-05,3.393381531686e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBNI.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.006824556138964e-05,0.0002802051720368355,0.00016426277768222036,0.0001803221528727229,1.0886089458719585e-05,4.945292276521392e-05,4.513923966167724e-05,5.088338668186528e-05,7.788111252024923e-05,6.341815133346478e-05,2.2652297199306834e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBRI.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.703980381416404e-05,0.00016426277768222036,0.0002769078098599,0.00015898476786083818,9.26470701680827e-06,3.482528924712828e-05,6.330852929228067e-05,4.0556757541814315e-05,7.319787973121608e-05,6.221437578371508e-05,3.634639696755304e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMRI.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.297770361833393e-05,0.0001803221528727229,0.00015898476786083818,0.000292756566853719,2.0835477489996218e-05,3.4883454086446556e-05,5.5845518073079965e-05,6.224888208178557e-05,7.686990776155268e-05,6.0958878265317055e-05,7.603341730469045e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCO.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.231715067166996e-05,1.0886089458719585e-05,9.26470701680827e-06,2.0835477489996218e-05,0.0004951971413228003,5.346320423825474e-07,3.9925558702259195e-05,4.247611534160011e-05,4.825098822374059e-05,-7.122806495746117e-06,-9.833295501584313e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INDF.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.731357166799022e-05,4.945292276521392e-05,3.482528924712828e-05,3.4883454086446556e-05,5.346320423825474e-07,0.00016614544699688398,3.594733637576082e-05,2.7007811325875255e-05,4.253507428438357e-05,3.593699931034654e-05,3.402945928918999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JSMR.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.200447363333964e-05,4.513923966167724e-05,6.330852929228067e-05,5.5845518073079965e-05,3.9925558702259195e-05,3.594733637576082e-05,0.00038469990225376124,5.2718514395822256e-05,0.00010706569572416046,4.126499818850718e-05,1.818473453300558e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRDA.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.829296165153667e-05,5.088338668186528e-05,4.0556757541814315e-05,6.224888208178557e-05,4.247611534160011e-05,2.7007811325875255e-05,5.2718514395822256e-05,0.00039992770515968873,5.7942471022258735e-05,1.6037721368978555e-05,3.508520387843565e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMGR.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.961641382389658e-05,7.788111252024923e-05,7.319787973121608e-05,7.686990776155268e-05,4.825098822374059e-05,4.253507428438357e-05,0.00010706569572416046,5.7942471022258735e-05,0.0004003757661813756,7.100578308228645e-05,5.308170242448038e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
