,0
AKRA.JK,4.355439600712695e-05
ANTM.JK,-0.00031471004955262703
ASII.JK,0.00017179066478917058
AUTO.JK,0.0010215919621479528
AVIA.JK,-0.0004481754300791563
BBCA.JK,0.0003128330060780968
BBNI.JK,0.0004273067319944047
BBRI.JK,0.00011351986376338075
BBTN.JK,-0.00026480106014209774
BIRD.JK,0.00019601302664555475
BJBR.JK,-0.0004554175208211776
BJTM.JK,-0.00018412043833617792
BMRI.JK,0.0007752076253252938
BTPS.JK,-0.001680292316757909
CTRA.JK,0.00040939834913596314
DSNG.JK,0.0014189087630055
ELSA.JK,0.0012425283410314803
EMTK.JK,-0.0006699790576954328
ESSA.JK,0.00019409434659322527
HEAL.JK,9.802231505333585e-05
ICBP.JK,0.0005016297819611155
INCO.JK,-0.00143665806390191
INDF.JK,0.0005825685716126834
INTP.JK,-0.0011597750619955192
JPFA.JK,0.0013734780785321732
JSMR.JK,0.0007186168001455634
KLBF.JK,-0.0011018090647729314
MPMX.JK,0.00015295470451960226
MTEL.JK,0.0001576637800704248
PGEO.JK,0.0008013800381489841
PNBN.JK,0.0008910424670401499
POWR.JK,0.0004748419453374104
PRDA.JK,-0.0015418575375098415
PWON.JK,-0.00011257852975659969
SCMA.JK,0.00017778607661001776
SIDO.JK,-0.0004670006050284011
SILO.JK,0.002283900181790202
SIMP.JK,1.5194269678734226e-05
SMGR.JK,-0.0017634294184068564
SMSM.JK,0.0008927332525092192
SSMS.JK,0.0008229199361739342
TAPG.JK,0.0013100881916480428
TLKM.JK,-0.0005814712515717355
UNTR.JK,0.000897795122674068
UNVR.JK,-0.001681726594491513
